MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Images,image,Image,Gender,mp_note,Email,Contact,attendance,Start of Term
Vasantha Venkata Krishna Prasad,54,Mylavaram,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Vasantha Venkata Krishna Prasad.jpg,,,,,,,,
Gali Bhanu Prakash,47,Nagari,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Gali Bhanu Prakash.jpg,,,,,,,,
Tangirala Sowmya,43,Nandigama (Sc),Female,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Tangirala Sowmya.jpg,,,,,,,,
G Jayasurya,42,Nandikotkur (Sc),Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,G Jayasurya.jpg,,,,,,,,
Nasyam Mohammed Farook,73,Nandyal,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Nasyam Mohammed Farook.jpg,,,,,,,,
Baggu Ramanamurthy,65,Narasannapeta,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Baggu Ramanamurthy.jpg,,,,,,,,
Bommidi Narayana Nayakar,51,Narasapuram,Male,Janasena Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Bommidi Narayana Nayakar.jpg,,,,,,,,
Aravinda Babu Chadalavada,64,Narasaraopet,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Aravinda Babu Chadalavada.jpg,,,,,,,,
Ayyannapatrudu Chintakayala,66,Narsipatnam,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Ayyannapatrudu Chintakayala.jpg,,,,,,,,
Lokam Naga Madhavi,55,Nellimarla,Female,Janasena Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Lokam Naga Madhavi.jpg,,,,,,,,
Narayana Ponguru,67,Nellore City,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Narayana Ponguru.jpg,,,,,,,,
Kotamreddy Sridhar Reddy,59,Nellore Rural,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kotamreddy Sridhar Reddy.jpg,,,,,,,,
Kandula Durgesh,64,Nidadavole,Male,Janasena Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kandula Durgesh.jpg,,,,,,,,
Kolusu Partha Sarathy,59,Nuzvid,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kolusu Partha Sarathy.jpg,,,,,,,,
Damacharla Janardhana Rao,49,Ongole,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Damacharla Janardhana Rao.jpg,,,,,,,,
Matsyarasa Visweswara Raju,38,Paderu,Male,Yuvajana Sramika Rythu Congress Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Matsyarasa Visweswara Raju.jpg,,,,,,,,
Dr.Nimmala Ramanaidu,55,Palacole,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Dr.Nimmala Ramanaidu.jpg,,,,,,,,
Jayakrishna Nimmaka,45,Palakonda,Male,Janasena Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Jayakrishna Nimmaka.jpg,,,,,,,,
Amaranatha Reddy. N,65,Palamaner,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Amaranatha Reddy. N.jpg,,,,,,,,
Gouthu Sireesha,49,Palasa,Female,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Gouthu Sireesha.jpg,,,,,,,,
Kumar Raja Varla,45,Pamarru (Sc),Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Kumar Raja Varla.jpg,,,,,,,,
Gowru Charitha Reddy,54,Panyam,Female,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Gowru Charitha Reddy.jpg,,,,,,,,
Yeluri Sambasiva Rao,48,Parchur,Male,Telugu Desam Party,Elected,Post Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Yeluri Sambasiva Rao.jpg,,,,,,,,
Bonela Vijaya Chandra,39,Parvathipuram,Male,Telugu Desam Party,Elected,Graduate,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Bonela Vijaya Chandra.jpg,,,,,,,,
Mamidi Govinda Rao,47,Pathapatnam,Male,Telugu Desam Party,Elected,Inter/ Higher Secondary,2024-06-04,In office,,,,,,,Member's data is taken from the election affidavits,16,Andhra Pradesh,Mamidi Govinda Rao.jpg,,,,,,,,
